tFirst,tSecond,interval,lon,lat,date,band
2013-05-30 5:30,2013-05-30 15:25,1,-157.4846867,20.44601261,2013-05-30,841
2013-05-30 15:25,2013-05-31 5:35,2,-158.0917505,21.52797385,2013-05-30,841
2013-05-31 5:35,2013-05-31 15:25,3,-158.0735218,21.49215406,2013-05-31,841
2013-05-31 15:25,2013-06-01 5:25,4,-156.8049272,19.00065552,2013-05-31,841
2013-06-01 5:25,2013-06-01 15:35,5,-158.0357251,16.48305433,2013-06-01,841
2013-06-01 15:35,2013-06-02 5:40,6,-159.8909773,20.08155129,2013-06-01,841
2013-06-02 5:40,2013-06-02 15:40,7,-160.4960309,18.85850651,2013-06-02,841
2013-06-02 15:40,2013-06-03 5:40,8,-160.4756998,18.76302227,2013-06-02,841
2013-06-03 5:40,2013-06-03 15:25,9,-158.580272,22.25470188,2013-06-03,841
2013-06-03 15:25,2013-06-04 5:45,10,-159.1841201,23.27124228,2013-06-03,841
2013-06-04 5:45,2013-06-04 15:40,11,-161.0375239,19.83590379,2013-06-04,841
2013-06-04 15:40,2013-06-05 5:45,12,-161.0157354,19.74332797,2013-06-04,841
2013-06-05 5:45,2013-06-05 15:20,13,-158.4939765,24.21933571,2013-06-05,841
2013-06-05 15:20,2013-06-06 5:30,14,-156.5967558,20.80535928,2013-06-05,841
2013-06-06 5:30,2013-06-06 15:20,15,-156.5740416,20.79835431,2013-06-06,841
2013-06-06 15:20,2013-06-07 5:40,16,-157.8007983,22.94355278,2013-06-06,841
2013-06-07 5:40,2013-06-07 15:25,17,-158.4023891,21.83415709,2013-06-07,841
2013-06-07 15:25,2013-06-08 5:20,18,-155.8790484,17.08361882,2013-06-07,841
2013-06-08 5:20,2013-06-08 15:25,19,-155.8551481,17.09320073,2013-06-08,841
2013-06-08 15:25,2013-06-09 5:35,20,-157.7056813,20.5378798,2013-06-08,841
2013-06-09 5:35,2013-06-09 16:10,21,-163.3054811,9.319095002,2013-06-09,841
2013-06-09 16:10,2013-06-10 5:35,22,-163.280761,9.244721192,2013-06-09,841
2013-06-10 5:35,2013-06-10 15:30,23,-158.2565317,19.32704395,2013-06-10,841
2013-06-10 15:30,2013-06-11 5:45,24,-159.4811767,21.51255822,2013-06-10,841
2013-06-11 5:45,2013-06-11 15:35,25,-160.0807329,20.40686136,2013-06-11,841
2013-06-11 15:35,2013-06-12 5:05,26,-155.0558542,10.50350351,2013-06-11,841
