person,picks,seed
Adam,32,1
Adam,23,2
Adam,20,3
Adam,10,4
Adam,7,5
Adam,5,6
Adam,4,7
Adam,2,8
Adam,0,9
Adam,0,10
Adam,1,11
Adam,0,12
Alex,32,1
Alex,20,2
Alex,18,3
Alex,11,4
Alex,19,5
Alex,6,6
Alex,4,7
Alex,0,8
Alex,0,9
Alex,3,10
Alex,0,11
Alex,0,12
Andrew F,22,1
Andrew F,24,2
Andrew F,18,3
Andrew F,16,4
Andrew F,13,5
Andrew F,4,6
Andrew F,4,7
Andrew F,0,8
Andrew F,1,9
Andrew F,0,10
Andrew F,2,11
Andrew F,0,12
Andrew L,27,1
Andrew L,21,2
Andrew L,21,3
Andrew L,17,4
Andrew L,10,5
Andrew L,3,6
Andrew L,0,7
Andrew L,2,8
Andrew L,1,9
Andrew L,2,10
Andrew L,0,11
Andrew L,0,12
Bryan,32,1
Bryan,23,2
Bryan,16,3
Bryan,9,4
Bryan,10,5
Bryan,8,6
Bryan,3,7
Bryan,0,8
Bryan,0,9
Bryan,1,10
Bryan,1,11
Bryan,1,12
James,39,1
James,27,2
James,13,3
James,11,4
James,2,5
James,5,6
James,3,7
James,0,8
James,3,9
James,0,10
James,0,11
James,1,12
Josh,14,1
Josh,28,2
Josh,16,3
Josh,23,4
Josh,6,5
Josh,6,6
Josh,2,7
Josh,1,8
Josh,2,9
Josh,3,10
Josh,3,11
Josh,0,12
Rob,20,1
Rob,26,2
Rob,16,3
Rob,12,4
Rob,11,5
Rob,7,6
Rob,5,7
Rob,5,8
Rob,1,9
Rob,1,10
Rob,0,11
Rob,0,12
Total,218,1
Total,192,2
Total,138,3
Total,109,4
Total,69,5
Total,44,6
Total,25,7
Total,10,8
Total,8,9
Total,10,10
Total,7,11
Total,2,12
