year,person,cumrank,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,draftround,overallpick,draftposition,region,conference,initial,spacer,longitude,latitude
2009,Rob,6,Tyler Hansbrough,North Carolina,1,20.700001,22,15,24,8,18,18,105,6,17.5,1,1,1,South,ACC,1,North Carolina,-79.040001,35.900002
2009,Rob,,Sherron Collins,Kansas,3,18.299999,32,25,20,,,,77,3,25.700001,2,16,1,Midwest,Big 12,2,Kansas,-95.25,38.950001
2009,Rob,,James Harden,Arizona St.,6,20.799999,9,10,,,,,19,2,9.5,3,17,1,South,Pac-12,3,Arizona St.,-111.93,33.419998
2009,Rob,,Antonio Anderson,Memphis,2,10.2,13,2,18,,,,33,3,11,4,32,1,West,Conference USA,4,Memphis,-90.050583,35.138123
2009,Rob,,DeMarre Carroll,Missouri,3,16.6,13,15,17,12,,,57,4,14.3,5,33,1,West,Big 12,5,Missouri,-92.330002,38.93
2009,Rob,,Luke Nevill,Utah,5,16.799999,12,,,,,,12,1,12,6,48,1,Midwest,Mountain West,6,Utah,-111.84,40.759998
2009,Rob,,Darren Collison,UCLA,6,14.4,10,15,,,,,25,2,12.5,7,49,1,East,Pac-12,7,UCLA,-118.45,34.07
2009,Rob,,James Anderson,Oklahoma St.,8,18.6,10,15,,,,,25,2,12.5,8,64,1,East,Big 12,8,Oklahoma St.,-97.07,36.119999
2009,Alex,,Wayne Ellington,North Carolina,1,15.8,25,23,19,9,17,19,112,6,18.700001,1,2,2,South,ACC,9,North Carolina,-79.040001,35.900002
2009,Alex,,Hasheem Thabeet,Connecticut,1,13.6,20,6,15,5,17,,63,5,12.6,2,15,2,West,Big East,10,Connecticut,-72.676193,41.768265
2009,Alex,,Deon Thompson,North Carolina,1,10.6,6,6,5,10,6,9,42,6,7,3,18,2,South,ACC,11,North Carolina,-79.040001,35.900002
2009,Alex,,Toney Douglas,Florida St.,5,21.299999,26,,,,,,26,1,26,4,31,2,East,ACC,12,Florida St.,-84.290001,30.440001
2009,Alex,,Eric Devendorf,Syracuse,3,15.7,10,21,8,,,,39,3,13,5,34,2,South,Big East,13,Syracuse,-76.139999,43.040001
2009,Alex,,Al-Farouq Aminu,Wake Forest,4,12.9,17,,,,,,17,1,17,6,47,2,Midwest,ACC,14,Wake Forest,-80.260002,36.130001
2009,Alex,,Alex Ruoff,West Virginia,6,15.7,9,,,,,,9,1,9,7,50,2,Midwest,Big East,15,West Virginia,-79.980003,39.650002
2009,Alex,7,Wesley Mathews,Marquette,6,18.4,11,24,,,,,35,2,17.5,8,63,2,West,Big East,16,Marquette,-87.919998,43.040001
2009,Bryan,,Sam Young,Pittsburgh,1,18.700001,14,32,19,28,,,93,4,23.299999,1,3,3,East,Big East,17,Pittsburgh,-79.96228,40.443821
2009,Bryan,,Danny Green,North Carolina,1,13.1,15,8,13,18,15,6,75,6,12.5,2,14,3,South,ACC,18,North Carolina,-79.040001,35.900002
2009,Bryan,,Kalin Lucas,Michigan St.,2,14.7,13,10,18,10,21,14,86,6,14.3,3,19,3,Midwest,Big Ten,19,Michigan St.,-84.489998,42.73
2009,Bryan,,James Johnson,Wake Forest,4,15,22,,,,,,22,1,22,4,30,3,Midwest,ACC,20,Wake Forest,-80.260002,36.130001
2009,Bryan,1,Goran Suton,Michigan St.,2,10.4,11,10,20,19,4,17,81,6,13.5,5,35,3,Midwest,Big Ten,21,Michigan St.,-84.489998,42.73
2009,Bryan,,Taylor Griffin,Oklahoma,2,9.6000004,18,7,9,4,,,38,4,9.5,6,46,3,South,Big 12,22,Oklahoma,-97.440002,35.189999
2009,Bryan,,E'Twaun Moore,Purdue,5,13.8,17,14,7,,,,38,3,12.7,7,51,3,West,Big Ten,23,Purdue,-86.919998,40.43
2009,Bryan,,Matt Bouldin,Gonzaga,4,13.6,12,20,7,,,,39,3,13,8,62,3,South,West Coast,24,Gonzaga,-117.4,47.669998
2009,Adam,,Blake Griffin,Oklahoma,2,22.700001,28,33,30,23,,,114,4,28.5,1,4,4,South,Big 12,25,Oklahoma,-97.440002,35.189999
2009,Adam,,Terrence Williams,Louisville,1,12.5,13,24,14,5,,,56,4,14,2,13,4,Midwest,Big East,26,Louisville,-85.75,38.259998
2009,Adam,,Scottie Reynolds,Villanova,3,15.2,8,11,16,15,17,,67,5,13.4,3,20,4,East,Big East,27,Villanova,-75.169998,39.900002
