person,teammates,year,champ,round1,round2,round3,round4,round5,round6,total,games,ppg,draftposition
Rob,No,2009,0,121,97,79,20,18,18,353,23,15.3,1
Alex,Yes,2009,0,124,80,47,24,40,28,343,25,13.7,2
Bryan,Yes,2009,1,122,101,93,79,40,37,472,33,14.3,3
Adam,No,2009,0,107,129,117,66,22,0,441,30,14.7,4
Andrew L,No,2009,0,135,105,91,53,30,4,418,30,13.9,5
Josh,No,2009,0,98,101,67,20,2,3,291,23,12.7,6
James,Yes,2009,0,104,135,79,67,56,0,441,33,13.4,7
Andrew F,Yes,2009,0,66,112,98,38,22,21,357,30,11.9,8
Andrew F,Yes,2010,0,142,86,33,36,0,0,297,18,16.5,1
Alex,Yes,2010,0,122,106,38,31,11,0,308,20,15.4,2
Andrew L,Yes,2010,0,108,80,33,49,42,28,340,21,16.200001,3
Bryan,Yes,2010,0,96,128,109,49,0,0,382,25,15.3,4
James,Yes,2010,0,117,90,65,35,0,0,307,22,14,5
Adam,No,2010,0,94,87,54,8,0,0,243,19,12.8,6
Rob,No,2010,0,81,57,51,18,10,0,217,19,11.4,7
Josh,Yes,2010,1,126,123,103,31,31,19,433,30,14.4,8
Adam,Yes,2011,0,97,92,106,26,0,0,321,23,14,1
Alex,Yes,2011,0,124,99,33,20,0,0,276,18,15.3,2
Rob,Yes,2011,1,126,110,65,86,17,0,404,24,16.799999,3
Josh,No,2011,0,131,113,84,20,13,0,361,25,14.4,4
Andrew F,No,2011,0,90,104,66,16,11,0,287,23,12.5,5
Andrew L,No,2011,0,116,83,39,27,8,11,284,23,12.3,6
Bryan,Yes,2011,0,95,97,80,53,30,28,383,25,15.3,7
James,Yes,2011,0,95,94,16,13,0,0,218,20,10.9,8
James,Yes,2012,0,108,98,61,44,17,25,353,27,13.1,1
Josh,Yes,2012,0,123,51,46,35,19,0,274,18,15.2,2
Bryan,Yes,2012,1,129,105,72,43,36,35,420,28,15,3
Andrew F,Yes,2012,0,128,67,49,22,10,19,295,20,14.8,4
