year,player,school,seed,seasonppg,round1,round2,round3,round4,round5,round6,totalpoints,gamesplayed,tourneyppg,initial
2009,Dwayne Anderson,Villanova,3,9,25,10,8,17,6,,66,5,13.2,1
2009,Nic Wise,Arizona,12,15.7,29,21,14,,,,64,3,21.3,2
2009,Roburt Sallie,Memphis,2,5.8,35,13,12,,,,60,3,20,3
2009,Durrell Summers,Michigan State,2,8.6,3,11,9,12,10,13,58,6,9.7,4
2009,Chase Budinger,Arizona,12,18,20,15,22,,,,57,3,19,5
2009,Marcus Thornton,LSU,8,21.1,30,25,,,,,55,2,27.5,6
2009,J.T. Tiller,Missouri,3,8.4,11,10,23,8,,,52,4,13,7
2009,Draymond Green,Michigan State,2,3.3,16,7,7,6,8,7,51,6,8.5,8
2010,Gordan Heyward,Butler,5,15.5,13,12,17,22,19,12,95,6,15.8,9
2010,Durrell Summers,Michigan State,5,11.3,14,26,19,21,14,,94,5,18.8,10
2010,Shelvin Mack,Butler,5,14.1,25,11,14,16,14,12,92,6,15.3,11
2010,Omar Samhan,Saint Mary's,10,21.3,29,32,15,,,,76,3,25.3,12
2010,Louis Dale,Cornell,12,12.8,21,26,17,,,,64,3,21.3,13
2010,J.P. Prince,Tennessee,6,9.9,15,18,14,12,,,59,4,14.8,14
2010,Wayne Chism,Tennessee,6,12.6,11,9,22,13,,,55,4,13.8,15
2010,Ryan Wittman,Cornell,12,17.5,20,24,10,,,,54,3,18,16
2011,Shelvin Mack,Butler,8,16,15,30,13,27,24,13,122,6,20.3,17
2011,Jamie Skeen,VCU,11,15.7,12,13,11,26,27,,89,5,17.8,18
2011,Bradford Burgess,VCU,11,14.3,12,23,26,9,15,,85,5,17,19
2011,Matt Howard,Butler,8,16.4,15,16,20,14,17,7,89,6,14.8,20
2011,Brandon Rozzel,VCU,11,11.5,26,10,16,12,2,,66,5,13.2,21
2011,Josh Harrellson,Kentucky,4,7.6,15,15,17,12,6,,65,5,13,22
2011,Justin Harper,Richmond,12,17.9,13,19,22,,,,54,3,18,23
2011,Kevin Anderson,Richmond,12,16.6,25,14,13,,,,52,3,17.3,24
2012,Chane Behanan,Louisville,4,9.5,14,10,15,17,19,,66,5,13.2,25
2012,Bradley Beal,Florida,7,14.8,14,14,21,14,,,63,4,15.8,26
2012,Walter Offutt,Ohio,13,12.4,11,21,26,,,,58,3,19.3,27
2012,Christian Watford,Indiana,4,12.6,14,16,27,,,,57,3,19,28
2012,Scoop Jardine,Syracuse,1,8.9,11,16,14,14,,,55,4,13.8,29
2012,Lenzelle Smith,Ohio State,2,6.8,3,7,17,18,10,,55,5,11,30
2012,Kenny Frease,Xavier,10,10.2,10,25,18,,,,53,3,17.7,31
2012,Aaron Craft,Ohio State,2,8.8,8,17,11,5,11,,52,5,10.4,32
2013,Mitch McGary,Michigan,4,7.5,13,21,25,11,10,6,86,6,14.3,33
2013,Cleanthony Early,Wichita State,9,13.9,21,16,8,12,24,,81,5,16.2,34
2013,Mark Lyons,Arizona,6,15.6,23,27,23,,,,73,3,24.3,35
2013,Luke Hancock,Louisville,1,8.1,5,5,7,10,20,22,69,6,11.5,36
2013,Malcolm Armstead,Wichita State,9,10.7,22,6,18,14,2,,64,5,12.8,37
2013,Khalif Wyatt,Temple,9,20.5,31,31,,,,,62,2,31,38
2013,LaQuinton Ross,Ohio State,2,8.3,7,17,17,19,,,60,4,15,39
2013,Carl Hall,Wichita State,9,12.5,11,10,16,8,13,,56,5,11.2,40
2014,DeAndre Daniels,Connecticut,7,13.1,18,11,27,12,20,8,96,6,16,41
2014,Ryan Boatright,Connecticut,7,12.1,17,11,16,11,13,14,82,6,13.7,42
2014,Aaron Harrison,Kentucky,8,13.7,18,19,15,12,8,7,79,6,13.2,43
2014,James Young,Kentucky,8,14.3,7,13,9,13,17,20,79,6,13.2,44
2014,Andrew Harrison,Kentucky,8,10.9,7,20,14,8,9,8,66,6,11,45
2014,Dustin Hogue,Iowa State,3,11.6,15,14,34,,,,63,3,21,46
2014,Josh Richardson,Tennessee,11,10.3,15,26,19,,,,60,3,20,47
2014,Jordan McRae,Tennessee,11,18.7,21,14,24,,,,59,3,19.7,48
2015,Fred VanVleet,Wichita State,7,13.6,27,17,25,,,,69,3,23,49
2015,Bryce Alford,UCLA,11,15.4,27,22,8,,,,57,3,19,50
2015,Branden Dawson,Michigan State,7,11.9,14,15,6,9,12,,56,5,11.2,51
2015,Steve Vasturia,Notre Dame,3,10.1,3,20,15,16,,,54,4,13.5,52
2015,Norman Powell,UCLA,11,16.4,19,15,16,,,,50,3,16.7,53
2015,Tony Parker,UCLA,11,11.5,3,28,16,,,,47,3,15.7,54
2015,Domantas Sabonis,Gonzaga,2,9.7,7,18,12,9,,,46,4,11.5,55
2015,Matt Stainbrook,Xavier,6,12.3,20,9,17,,,,46,3,15.3,56
2016,Michael Gbinije,Syracuse,10,17.5,10,23,20,11,12,,76,5,15.2,57
2016,Malachi Richardson,Syracuse,10,13.4,21,4,10,23,17,,75,5,15,58
2016,Demetrius Jackson,Notre Dame,6,15.8,11,18,16,26,,,71,4,17.8,59
2016,V.J. Beachum,Notre Dame,6,12,18,15,19,18,,,70,4,17.5,60
2016,Trevor Cooney,Syracuse,10,12.9,13,12,15,8,22,,70,5,14,61
2016,Thomas Walkup,Stephen F. Austin,14,18.1,33,21,,,,,54,2,27,62
2016,Jeremy Morgan,Northern Iowa,11,11.3,16,36,,,,,52,2,26,63
2016,Tyler Lydon,Syracuse,10,10.1,14,14,4,11,8,,51,5,10.2,64
2017,P.J. Dozier,South Carolina,7,13.9,21,11,12,17,17,,78,5,15.6,65
2017,Chris Silva,South Carolina,7,10.2,12,17,12,13,13,,67,5,13.4,66
2017,Jordan Bell,Oregon,3,10.9,17,6,16,11,13,,63,5,12.6,67
2017,Johnathan Williams,Gonzaga,1,10.2,6,8,13,19,7,9,62,6,10.3,68
2017,Bronson Koenig,Wisconsin,8,14.5,28,17,13,,,,58,3,19.3,69
2017,Nigel Hayes,Wisconsin,8,14,16,19,22,,,,57,3,19,70
2017,Zach Collins,Gonzaga,1,10,10,14,1,6,14,9,54,6,9,71
2017,Duane Notice,South Carolina,7,10.2,10,17,11,6,10,,54,5,10.8,72
2018,Charles Matthews,Michigan,3,13,20,11,18,17,17,6,89,6,14.8,73
2018,Gabe Devoe,Clemson,5,14.2,22,22,31,,,,75,3,25,74
2018,Omari Spellman,Villanova,1,10.9,10,7,18,11,15,8,69,6,11.5,75
2018,Barry Brown,Kansas State,9,15.9,18,18,13,14,,,63,4,15.8,76
2018,Clayton Custer,Loyola Chicago,11,13.2,14,10,15,7,15,,61,5,12.2,77
2018,Aundre Jackson,Loyola Chicago,11,11,12,16,15,6,10,,59,5,11.8,78
2018,Cody Martin,Nevada,7,14,15,25,16,,,,56,3,18.7,79
2018,Tyler Davis,Texas A&M,7,14.9,14,18,24,,,,56,3,18.7,80
2019,Matt Mooney,Texas Tech,3,11.3,9,11,10,17,22,10,79,6,13.2,81
2019,Mamadi Diakite,Virginia,1,7.4,17,14,7,14,2,9,63,6,10.5,82
2019,Aaron Henry,Michigan State,2,6.1,8,9,20,4,11,,52,5,10.4,83
2019,Louis King,Oregon,12,13,17,16,16,,,,49,3,16.3,84
2019,Tariq Owens,Texas Tech,3,8.7,12,10,7,9,7,3,48,6,8,85
2019,Matt Haarms,Purdue,3,9.4,13,18,11,6,,,48,4,12,86
2019,Brandone Francis,Texas Tech,3,6.5,6,5,4,6,9,17,47,6,7.8,87
2019,Aubrey Dawkins,Central Florida,9,15.6,14,32,,,,,46,2,23,88
